"","Pathway_ID","Pathway_Name","Compound_ID","Metabolism_Name"
"hsa00450","hsa00450","Selenocompound metabolism - Homo sapiens (human)","C00017;C00041;C01528;C02535;C05172;C05335;C05336;C05684;C05686;C05688;C05689;C05690;C05695;C05697;C05698;C05699;C05703;C06481;C06482;C16638;C18870;C18871;C18872;C18893;C18902;C18904;C18905","Protein;L-Alanine;Hydrogen selenide;Dimethyl selenide;Selenophosphoric acid;L-Selenomethionine;Selenomethionyl-tRNA(Met);Selenite;Adenylylselenate;L-Selenocysteine;Se-Methyl-L-selenocysteine;Se-Methylselenomethionine;gamma-Glutamyl-Se-methylselenocysteine;Selenate;Selenohomocysteine;L-Selenocystathionine;Methaneselenol;L-Seryl-tRNA(Sec);L-Selenocysteinyl-tRNA(Sec);O-Phosphoseryl-tRNA(Sec);Selenodiglutathione;Glutathioselenol;Trimethylselenonium;1-Methylseleno-N-acetyl-D-galactosamine;Methylselenic acid;Methylselenopyruvate;Methylselenocysteine Se-oxide"
"hsa00470","hsa00470","D-Amino acid metabolism - Homo sapiens (human)","C00022;C00025;C00026;C00036;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00077;C00079;C00084;C00097;C00133;C00134;C00135;C00148;C00166;C00188;C00217;C00402;C00431;C00433;C00515;C00624;C00666;C00680;C00692;C00739;C00740;C00763;C00792;C00793;C00819;C00820;C00855;C00993;C01110;C01157;C01180;C01667;C01672;C01726;C02237;C02265;C02855;C03239;C03341;C03440;C03564;C03771;C03933;C03943;C04260;C04282;C04457;C05161;C05620;C05825;C05939;C05941;C05942;C06419;C22024;C22025;C22611","Pyruvate;L-Glutamate;2-Oxoglutarate;Oxaloacetate;Glycine;L-Alanine;L-Lysine;L-Aspartate;L-Arginine;L-Glutamine;L-Serine;L-Methionine;L-Ornithine;L-Phenylalanine;Acetaldehyde;L-Cysteine;D-Alanine;Putrescine;L-Histidine;L-Proline;Phenylpyruvate;L-Threonine;D-Glutamate;D-Aspartate;5-Aminopentanoate;2,5-Dioxopentanoate;D-Ornithine;N-Acetyl-L-glutamate;LL-2,6-Diaminoheptanedioate;meso-2,6-Diaminoheptanedioate;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate;D-Lysine;D-Serine;D-Proline;D-Arginine;D-Cysteine;D-Glutamine;D-Threonine;D-Methionine;D-Alanyl-D-alanine;5-Amino-2-oxopentanoic acid;Hydroxyproline;4-Methylthio-2-oxobutanoic acid;Bacitracin;Cadaverine;D-Lombricine;5-Oxo-D-proline;D-Phenylalanine;N-Phospho-D-lombricine;6-Amino-2-oxohexanoate;2-Amino-4-oxopentanoic acid;cis-4-Hydroxy-D-proline;1-Pyrroline-2-carboxylate;5-Guanidino-2-oxopentanoate;5-D-Glutamyl-D-glutamyl-peptide;(2R,4S)-2,4-Diaminopentanoate;O-D-Alanyl-poly(ribitol phosphate);1-Pyrroline-4-hydroxy-2-carboxylate;D-Alanyl-alanyl-poly(glycerolphosphate);(2R,5S)-2,5-Diaminohexanoate;N-Acetyl-D-phenylalanine;2-Amino-5-oxohexanoate;Linatine;2-Oxo-4-hydroxy-5-aminovalerate;Pyrrole-2-carboxylate;D-Histidine;Staphylopine;(2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate;N-Acetyl-D-glutamate"
"hsa00480","hsa00480","Glutathione metabolism - Homo sapiens (human)","C00005;C00006;C00024;C00025;C00037;C00051;C00072;C00077;C00097;C00127;C00134;C00151;C00315;C00669;C00750;C01322;C01419;C01672;C01879;C02090;C02320;C03170;C03646;C03740;C05422;C05726;C05727;C05729;C05730;C16562;C16563;C16564;C16565;C16566;C16567;C16568;C16663;C16664","NADPH;NADP+;Acetyl-CoA;L-Glutamate;Glycine;Glutathione;Ascorbate;L-Ornithine;L-Cysteine;Glutathione disulfide;Putrescine;L-Amino acid;Spermidine;gamma-L-Glutamyl-L-cysteine;Spermine;RX;Cys-Gly;Cadaverine;5-Oxoproline;Trypanothione;R-S-Glutathione;Trypanothione disulfide;Bis-gamma-glutamylcystine;(5-L-Glutamyl)-L-amino acid;Dehydroascorbate;S-Substituted L-cysteine;S-Substituted N-acetyl-L-cysteine;R-S-Cysteinylglycine;Glutathionylspermidine;Glutathionylspermine;Bis(glutathionyl)spermine;Bis(glutathionyl)spermine disulfide;Aminopropylcadaverine;Glutathionylaminopropylcadaverine;Homotrypanothione;Homotrypanothione disulfide;Tryparedoxin;Tryparedoxin disulfide"
"hsa00500","hsa00500","Starch and sucrose metabolism - Homo sapiens (human)","C00029;C00031;C00085;C00089;C00092;C00095;C00103;C00185;C00208;C00252;C00369;C00372;C00394;C00498;C00501;C00663;C00689;C00718;C00721;C00760;C00963;C00965;C00973;C01083;C01231;C01725;C01898;C01935;C02591;C02995;C03323;C04534;C05731;C06215;C06400;C16688;C20237","UDP-glucose;D-Glucose;D-Fructose 6-phosphate;Sucrose;D-Glucose 6-phosphate;D-Fructose;D-Glucose 1-phosphate;Cellobiose;Maltose;Isomaltose;Starch;Dextran;GDP-glucose;ADP-glucose;CDP-glucose;beta-D-Glucose 1-phosphate;alpha,alpha'-Trehalose 6-phosphate;Amylose;Dextrin;Cellulose;beta-D-Glucoside;1,3-beta-D-Glucan;Cyclomaltodextrin;alpha,alpha-Trehalose;alpha-D-Glucose 1,6-bisphosphate;Levanbiose;Cellodextrin;Maltodextrin;Sucrose 6'-phosphate;Maltose 6'-phosphate;(2,1-beta-D-Fructosyl)n;6-Phospho-beta-D-glucosyl-(1,4)-D-glucose;3-Ketosucrose;Levan;1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside;Sucrose 6-phosphate;alpha-Maltose 1-phosphate"
"hsa00510","hsa00510","N-Glycan biosynthesis - Homo sapiens (human)","C00096;C00110;C00381;C00621;C01246;C03021;C03862;C06081;G00001;G00002;G00003;G00004;G00005;G00006;G00007;G00008;G00009;G00010;G00011;G00012;G00013;G00014;G00015;G00016;G00017;G00018;G00019;G00020;G00021;G00022;G00171;G10526;G10595;G10596;G10597;G10598;G10599;G10694","GDP-mannose;Dolichyl phosphate;Dolichol;Dolichyl diphosphate;Dolichyl beta-D-glucosyl phosphate;Protein asparagine;Dolichyl phosphate D-mannose;Polyprenol;N-Acetyl-D-glucosaminyldiphosphodolichol;N,N'-Chitobiosyldiphosphodolichol;NA  G00003;NA  G00004;NA  G00005;NA  G00006;NA  G00007;NA  G00008;NA  G00009;NA  G00010;NA  G00011;NA  G00012;NA  G00013;NA  G00014;NA  G00015;NA  G00016;NA  G00017;DS 3;NA  G00019;NA  G00020;NA  G00021;NA  G00022;NA  G00171;NA  G10526;NA  G10595;NA  G10596;NA  G10597;NA  G10598;NA  G10599;NA  G10694"
"hsa00511","hsa00511","Other glycan degradation - Homo sapiens (human)","",""
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis - Homo sapiens (human)","C02189;G00023;G00024;G00025;G00026;G00027;G00028;G00029;G00030;G00031;G00032;G00033;G00034;G00035;G10611;G10794;G13153","[Protein]-L-serine;Tn antigen;T antigen;NA  G00025;NA  G00026;NA  G00027;NA  G00028;NA  G00029;NA  G00030;NA  G00031;NA  G00032;NA  G00033;NA  G00034;Sialyl-Tn antigen;UDP-N-acetyl-D-galactosamine;NA  G10794;NA  G13153"
"hsa00513","hsa00513","Various types of N-glycan biosynthesis - Homo sapiens (human)","G00011;G00012;G00013;G00014;G00015;G00016;G00017;G00179;G01813;G05477;G10665;G10694;G10716;G10770;G10841;G10920;G11000;G11040;G11933;G12617;G12625;G12626;G13047;G13048;G13049;G13050;G13055;G13056;G13057;G13058;G13059","NA  G00011;NA  G00012;NA  G00013;NA  G00014;NA  G00015;NA  G00016;NA  G00017;NA  G00179;NA  G01813;NA  G05477;NA  G10665;NA  G10694;NA  G10716;NA  G10770;NA  G10841;NA  G10920;NA  G11000;NA  G11040;NA  G11933;NA  G12617;NA  G12625;NA  G12626;NA  G13047;NA  G13048;NA  G13049;NA  G13050;NA  G13055;NA  G13056;NA  G13057;NA  G13058;NA  G13059"
"hsa00514","hsa00514","Other types of O-glycan biosynthesis - Homo sapiens (human)","",""
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis - Homo sapiens (human)","C00063;C00789;C01068;C02189;G10617;G13026;G13027;G13028;G13082;G13083;G13084;G13085;G13086;G13087;G13088;G13089;G13090;G13091;G13092;G13093;G13094;G13095;G13096;G13097;G13098;G13099;G13100","CTP;CDP-ribitol;D-Ribitol 5-phosphate;[Protein]-L-serine;Dolichyl phosphate D-mannose;NA  G13026;NA  G13027;NA  G13028;NA  G13082;NA  G13083;O-Mannose core M1;NA  G13085;O-Mannose core M2;NA  G13087;NA  G13088;NA  G13089;NA  G13090;O-mannose core M3;Phospho-core M3;NA  G13093;NA  G13094;NA  G13095;NA  G13096;NA  G13097;NA  G13098;NA  G13099;NA  G13100"
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)","C00029;C00031;C00043;C00052;C00096;C00103;C00128;C00140;C00159;C00167;C00181;C00190;C00191;C00203;C00216;C00259;C00267;C00270;C00275;C00325;C00329;C00333;C00352;C00357;C00394;C00446;C00461;C00498;C00501;C00617;C00636;C00645;C00668;C00714;C00734;C00935;C00976;C00984;C00996;C00999;C01019;C01050;C01132;C01170;C01219;C01222;C01623;C01674;C01788;C02199;C02280;C02336;C02352;C02474;C02713;C02977;C02985;C03117;C03410;C03598;C03599;C03691;C03733;C03906;C04037;C04089;C04257;C04297;C04501;C04573;C04613;C04630;C04631;C05345;C05385;C06023;C06156;C06240;C06241;C06377;C11521;C13952;C15925;C16153;C16154;C16155;C16156;C16157;C16183;C16698;C17269;C17326;C17327;C17328;C18060;C18094;C19725;C19745;C19769;C19823;C19961;C19971;C19972;C20082;C20083;C20357;C20359;C20395;C20418;C20419;C20424;C20638;C20672;C20934;C21027;C21383;C21384;C22029","UDP-glucose;D-Glucose;UDP-N-acetyl-alpha-D-glucosamine;UDP-alpha-D-galactose;GDP-mannose;D-Glucose 1-phosphate;CMP-N-acetylneuraminate;N-Acetyl-D-glucosamine;D-Mannose;UDP-glucuronate;D-Xylose;UDP-D-xylose;D-Glucuronate;UDP-N-acetyl-D-galactosamine;D-Arabinose;L-Arabinose;alpha-D-Glucose;N-Acetylneuraminate;D-Mannose 6-phosphate;GDP-L-fucose;D-Glucosamine;D-Galacturonate;D-Glucosamine 6-phosphate;N-Acetyl-D-glucosamine 6-phosphate;GDP-glucose;alpha-D-Galactose 1-phosphate;Chitin;ADP-glucose;CDP-glucose;UDP-D-galacturonate;D-Mannose 1-phosphate;N-Acetyl-D-mannosamine;alpha-D-Glucose 6-phosphate;Pectin;Chitosan;UDP-L-arabinose;GDP-D-mannuronate;alpha-D-Galactose;Ferricytochrome b5;Ferrocytochrome b5;L-Fucose;UDP-N-acetylmuramate;N-Acetyl-D-galactosamine;UDP-N-acetyl-D-mannosamine;CDP-4-dehydro-6-deoxy-D-glucose;GDP-4-dehydro-6-deoxy-D-mannose;UDP-apiose;Chitobiose;CDP-abequose;UDP-L-rhamnose;GDP-L-galactose;beta-D-Fructose;1,4-beta-D-Xylan;Arabinan;N-Acetylmuramate;GDP-6-deoxy-D-talose;L-Fucose 1-phosphate;GDP-6-deoxy-D-mannose;N-Glycoloyl-neuraminate;CDP-3,6-dideoxy-D-glucose;CDP-3,6-dideoxy-D-mannose;CMP-N-glycoloylneuraminate;UDP-alpha-D-galactofuranose;beta-L-Arabinose 1-phosphate;1-Phospho-alpha-D-galacturonate;UDP-4-dehydro-6-deoxy-D-glucose;N-Acetyl-D-mannosamine 6-phosphate;CDP-4-dehydro-3,6-dideoxy-D-glucose;N-Acetyl-alpha-D-glucosamine 1-phosphate;UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate;UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose;UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose;UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine;beta-D-Fructose 6-phosphate;D-Glucuronate 1-phosphate;D-Glucosaminide;alpha-D-Glucosamine 1-phosphate;UDP-N-acetyl-D-mannosaminouronate;N-Acetylneuraminate 9-phosphate;D-Galactosamine 6-phosphate;UDP-6-sulfoquinovose;UDP-N-acetyl-D-galactosaminuronic acid;GDP-L-gulose;UDP-L-Ara4N;UDP-L-Ara4FN;UDP-L-Ara4O;Undecaprenyl phosphate alpha-L-Ara4FN;Undecaprenyl phosphate alpha-L-Ara4N;alpha-D-Arabinopyranose 1-phosphate;N-Acetylmuramic acid 6-phosphate;GDP-D-arabinopyranose;CDP-4-dehydro-3,6-dideoxy-D-glucose epimer;CDP-ascarylose;UDP-4-keto-rhamnose;N-Acetyl-alpha-D-galactosamine 1-phosphate;UDP-L-arabinofuranose;UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate;UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate;1,6-Anhydro-N-acetyl-beta-muramate;UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose;UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine;UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose;2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose;Pseudaminic acid;CMP-pseudaminic acid;UDP-N,N'-diacetylbacillosamine;UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate;UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate;N,N'-Diacetyllegionaminate;CMP-N,N'-diacetyllegionaminate;2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose;GDP-4-amino-4,6-dideoxy-alpha-D-mannose;GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose;3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonate;N-Acetylmuramic acid alpha-1-phosphate;3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonate 9-phosphate;CMP-3-deoxy-D-glycero-D-galacto-non-2-ulopyranosonate;alpha-D-Galactosamine 1-phosphate"
"hsa00524","hsa00524","Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)","C00025;C00029;C00031;C00043;C00092;C00229;C00397;C00825;C00832;C00908;C01441;C01555;C01737;C01743;C01759;C01822;C01823;C01917;C02033;C02627;C07656;C12210;C12211;C15652;C17209;C17580;C17581;C17582;C17583;C17584;C17585;C17586;C17587;C17588;C17589;C17701;C17702;C17703;C17704;C17705;C17706;C17707;C17712;C17997;C18000;C18001;C18002;C18003;C18004;C18005;C18006;C18007;C18008;C18009;C20350;C20351;C20353;C20509;C20614;C20699;C21176;C21251;C21252;C21253;C21254;C21255;C21256;C21257;C21258;C21259;C21260;C21261;C21262;C21263;C21264;C21265;C21266;C21267;C21268;C21269;C21270","L-Glutamate;UDP-glucose;D-Glucose;UDP-N-acetyl-alpha-D-glucosamine;D-Glucose 6-phosphate;Acyl-carrier protein;Tobramycin;Kanamycin B;Paromomycin;Gentamicin C1a;Neamine;Apramycin;Neomycin B;Paromamine;Ribostamycin;Kanamycin A;Kanamycin C;Gentamicin A;Gentamicin C2;2-Deoxystreptamine;Gentamicin C1;UDP-3-ketoglucose;UDP-kanosamine;Neomycin C;2-Deoxy-scyllo-inosose;2-Deoxy-scyllo-inosamine;3-Amino-2,3-dideoxy-scyllo-inosose;2'-N-Acetylparomamine;6'-Dehydro-6'-oxoparomamine;Xylostasin;Butirosin A;Butirosin B;2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C;6'''-Deamino-6'''-hydroxyneomycin C;6'''-Deamino-6'''-oxoneomycin C;Gentamicin A2;Gentamicin X2;Antibiotic G-418;Antibiotic JI-20A;Antibiotic JI-20B;Gentamicin C2b;Lividomycin A;Paromomycin II;Oxyapramycin;Nebramycin factor 4;Nebramycin 5';5-Ribosylparomamine;Lividomycin B;5''-Phosphoribostamycin;gamma-L-Glutamyl-butirosin B;gamma-L-Glutamyl-[acp];4-Aminobutyryl-[acp];4-(gamma-L-Glutamylamino)butanoyl-[acp];4-(gamma-L-Glutamylamino)-(2S)-2-hydroxybutanoyl-[acp];2'-Deamino-2'-hydroxyneamine;2'-Deamino-2'-hydroxy-6'-dehydroparomamine;2'-Deamino-2'-hydroxyparomamine;2'-Dehydrokanamycin A;Kanamycin X;6''-O-Carbamoylkanamycin A;3''-Oxoribostamycin;6'-Oxokanamycin X;6'-Oxokanamycin C;Kanamycin D;3''-Deamino-3''-hydroxykanamycin B;Lividamine;6'-Oxolividamine;4'-Oxolividamine;4'-Oxonebramine;Nebramine;5''-Phosphoribosylparomamine;2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II;6'''-Deamino-6'''-hydroxyparomomycin II;6'''-Deamino-6'''-oxoparomomycin II;5'''-epi-Lividomycin B;3''-Oxogentamicin A2;3''-Amino-3''-deoxygentamicin A2;6'-Oxogentamicin X2;6'-Oxo-G418;Antibiotic JI-20Ba;Gentamicin C2a"
"hsa00531","hsa00531","Glycosaminoglycan degradation - Homo sapiens (human)","C00426;C00573;C00634;C00925;G00526;G00711;G00872;G01391;G01945;G01977;G02632;G09660;G10008;G10505;G12336;G13034;G13035;G13036;G13037;G13038;G13039;G13040;G13041;G13042;G13043;G13073;G13074","Dermatan sulfate;Keratan sulfate;Chondroitin 4-sulfate;Heparan sulfate;NA  G00526;NA  G00711;DWA-2;NA  G01391;NA  G01945;NA  G01977;NA  G02632;NA  G09660;NA  G10008;Hyaluronic acid;NA  G12336;NA  G13034;NA  G13035;NA  G13036;NA  G13037;NA  G13038;NA  G13039;NA  G13040;NA  G13041;NA  G13042;NA  G13043;NA  G13073;NA  G13074"
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)","C00053;C00054;C00401;C01490;C02189;G00154;G00155;G00156;G00157;G00158;G00159;G00160","3'-Phosphoadenylyl sulfate;Adenosine 3',5'-bisphosphate;Chondroitin;Dermatan;[Protein]-L-serine;NA  G00154;NA  G00155;NA  G00156;NA  G00157;NA  G00158;NA  G00159;NA  G00160"
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)","",""
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)","C00033;C00053;C00054;C02189;G00154;G00155;G00156;G00157;G00162;G00163;G00164","Acetate;3'-Phosphoadenylyl sulfate;Adenosine 3',5'-bisphosphate;[Protein]-L-serine;NA  G00154;NA  G00155;NA  G00156;NA  G00157;NA  G00162;NA  G00163;NA  G00164"
"hsa00561","hsa00561","Glycerolipid metabolism - Homo sapiens (human)","C00029;C00040;C00093;C00103;C00111;C00116;C00162;C00173;C00184;C00197;C00258;C00416;C00422;C00577;C00631;C00641;C00681;C00969;C01885;C02133;C02457;C03692;C04046;C04315;C04872;C05401;C06037;C06038;C06040;C06041;C06042;C06364;C06365;C11521;C13508;C20897;C20898;C20991","UDP-glucose;Acyl-CoA;sn-Glycerol 3-phosphate;D-Glucose 1-phosphate;Glycerone phosphate;Glycerol;Fatty acid;Acyl-[acyl-carrier protein];Glycerone;3-Phospho-D-glycerate;D-Glycerate;Phosphatidate;Triacylglycerol;D-Glyceraldehyde;2-Phospho-D-glycerate;1,2-Diacyl-sn-glycerol;1-Acyl-sn-glycerol 3-phosphate;3-Hydroxypropanal;1-Acylglycerol;Acyl phosphate;Propane-1,3-diol;1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol;3-D-Glucosyl-1,2-diacylglycerol;2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol;1,2-Diacyl-3-[3-(alpha-D-N-acetylneuraminyl)-beta-D-galactosyl]-sn-glycerol;3-beta-D-Galactosyl-sn-glycerol;Digalactosyl-diacylglycerol;Acyl1-monogalactosyl-diacylglycerol;Diglucosyldiacylglycerol;Glycerophosphoglycoglycerolipid;Lipoteichoic acid;1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol;alpha-Kojibiosyldiacylglycerol;UDP-6-sulfoquinovose;Sulfoquinovosyldiacylglycerol;Glycerophosphoglycoglycerolipid;Lipoteichoic acid;1,2-Diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol"
"hsa00562","hsa00562","Inositol phosphate metabolism - Homo sapiens (human)","C00024;C00092;C00111;C00118;C00137;C00191;C00222;C00558;C00641;C00691;C01177;C01194;C01204;C01220;C01243;C01245;C01272;C01277;C01284;C03546;C03659;C03660;C04006;C04062;C04063;C04287;C04477;C04520;C04549;C04563;C04579;C04637;C05981;C06153;C06892;C06893;C11554;C11555;C11556;C11557;C16737;C19794;C19799;C19891;C20251;C21643;C21644","Acetyl-CoA;D-Glucose 6-phosphate;Glycerone phosphate;D-Glyceraldehyde 3-phosphate;myo-Inositol;D-Glucuronate;3-Oxopropanoate;D-Tagaturonate;1,2-Diacyl-sn-glycerol;2,4,6/3,5-Pentahydroxycyclohexanone;Inositol 1-phosphate;1-Phosphatidyl-D-myo-inositol;Phytic acid;1D-myo-Inositol 1,4-bisphosphate;1D-myo-Inositol 1,3,4-trisphosphate;D-myo-Inositol 1,4,5-trisphosphate;1D-myo-Inositol 1,3,4,5-tetrakisphosphate;1-Phosphatidyl-1D-myo-inositol 4-phosphate;1D-myo-Inositol 1,3,4,5,6-pentakisphosphate;myo-Inositol 4-phosphate;D-Bornesitol;L-Bornesitol;1D-myo-Inositol 3-phosphate;D-myo-Inositol 1,3-bisphosphate;D-myo-Inositol 3,4-bisphosphate;3D-3,5/4-Trihydroxycyclohexane-1,2-dione;1D-myo-Inositol 1,3,4,6-tetrakisphosphate;1D-myo-Inositol 3,4,5,6-tetrakisphosphate;1-Phosphatidyl-1D-myo-inositol 3-phosphate;D-myo-Inositol 1,2,4,5,6-pentakisphosphate;Inositol 1,2,3,5,6-pentakisphosphate;1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate;Phosphatidylinositol-3,4,5-trisphosphate;scyllo-Inositol;2-Deoxy-5-keto-D-gluconic acid;2-Deoxy-5-keto-D-gluconic acid 6-phosphate;1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate;1D-myo-Inositol 1,4,5,6-tetrakisphosphate;1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate;1-Phosphatidyl-1D-myo-inositol 5-phosphate;5-Deoxy-D-glucuronate;CDP-1L-myo-inositol;Bis(1L-myo-inositol)-3,1'-phosphate 1-phosphate;1D-chiro-Inositol;1-Keto-D-chiro-inositol;3-Dehydro-scyllo-inosose;5-Dehydro-L-gluconate"
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)","C00154;C00346;C00350;C01194;G00143;G00144;G00145;G00146;G00148;G00149;G10610;G10617;G12396;G13044;G13046;G13128;G13150;G13151;G13152","Palmitoyl-CoA;Ethanolamine phosphate;Phosphatidylethanolamine;1-Phosphatidyl-D-myo-inositol;NA  G00143;NA  G00144;NA  G00145;NA  G00146;NA  G00148;NA  G00149;UDP-N-acetyl-D-glucosamine;Dolichyl phosphate D-mannose;6-(alpha-D-glucosaminyl)-1D-myo-inositol;NA  G13044;NA  G13046;NA  G13128;NA  G13150;NA  G13151;NA  G13152"
"hsa00564","hsa00564","Glycerophospholipid metabolism - Homo sapiens (human)","C00040;C00065;C00084;C00093;C00111;C00114;C00157;C00189;C00269;C00307;C00344;C00346;C00350;C00416;C00513;C00570;C00588;C00623;C00641;C00670;C00681;C01194;C01210;C01233;C01241;C01996;C02737;C03372;C03819;C03872;C03892;C03974;C04230;C04233;C04308;C04438;C04590;C04638;C05973;C05974;C05976;C05980;C06771;C06772;C13482;C18059;C18125;C18126;C18129;C18168;C18169;C20466;C20518;C22340;C22341;C22342","Acyl-CoA;L-Serine;Acetaldehyde;sn-Glycerol 3-phosphate;Glycerone phosphate;Choline;Phosphatidylcholine;Ethanolamine;CDP-diacylglycerol;CDP-choline;Phosphatidylglycerol;Ethanolamine phosphate;Phosphatidylethanolamine;Phosphatidate;CDP-glycerol;CDP-ethanolamine;Choline phosphate;sn-Glycerol 1-phosphate;1,2-Diacyl-sn-glycerol;sn-Glycero-3-phosphocholine;1-Acyl-sn-glycerol 3-phosphate;1-Phosphatidyl-D-myo-inositol;N-Methylethanolamine phosphate;sn-Glycero-3-phosphoethanolamine;Phosphatidyl-N-methylethanolamine;Acetylcholine;Phosphatidylserine;Acylglycerone phosphate;1-Acylglycerophosphoinositol;L-Serine-phosphoethanolamine;Phosphatidylglycerophosphate;2-Acyl-sn-glycerol 3-phosphate;1-Acyl-sn-glycero-3-phosphocholine;2-Acyl-sn-glycero-3-phosphocholine;Phosphatidyl-N-dimethylethanolamine;1-Acyl-sn-glycero-3-phosphoethanolamine;3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate;2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate;2-Acyl-sn-glycero-3-phosphoethanolamine;2-Acyl-sn-glycero-3-phosphoserine;Aminoacyl-phosphatidylglycerol;Cardiolipin;Triethanolamine;Diethanolamine;Phosphodimethylethanolamine;CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol;1-Acyl-sn-glycero-3-phosphoserine;1-Acyl-sn-glycero-3-phosphoglycerol;Monolysocardiolipin;Diacylglycerylhomoserine;Diacylglyceryl-N,N,N-trimethylhomoserine;2,3-Bis-(O-geranylgeranyl)-sn-glycero-1-phospho-L-serine;2,3-Bis-(O-phytanyl)-sn-glycerol 1-phosphate;Heptaprenylglyceryl phosphate;Heptaprenylglycerol;Diacetylheptaprenylglycerol"
"hsa00565","hsa00565","Ether lipid metabolism - Homo sapiens (human)","C00670;C00958;C01233;C01264;C02773;C03201;C03372;C03454;C03715;C03820;C03968;C04317;C04361;C04475;C04517;C04598;C04635;C04756;C05212;C05977;C15645;C15646;C15647;C20825;C20859","sn-Glycero-3-phosphocholine;Plasmenylcholine;sn-Glycero-3-phosphoethanolamine;2-Acetyl-1-alkyl-sn-glycero-3-phosphate;1-Alkyl-sn-glycerol;1-Alkyl-2-acylglycerol;Acylglycerone phosphate;1-Alkenyl-2-acylglycerol;O-Alkylglycerone phosphate;1-Alkyl-2-acetyl-sn-glycerol;1-Alkyl-sn-glycero-3-phosphate;1-Organyl-2-lyso-sn-glycero-3-phosphocholine;1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol;1-Alkyl-2-acylglycerophosphoethanolamine;1-(1-Alkenyl)-sn-glycero-3-phosphocholine;2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine;1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine;O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine;1-Radyl-2-acyl-sn-glycero-3-phosphocholine;2-Acyl-1-alkyl-sn-glycero-3-phosphate;1-(1-Alkenyl)-sn-glycerol;1-(1-Alkenyl)-sn-glycero-3-phosphate;2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate;Seminolipid;Galactosyl-1-alkyl-2-acylglycerol"
