,degree,fanout,fanin
ART3,0.0,0.0,1.0
ART5,0.0,0.0,1.0
ART4,0.0,0.0,1.0
HMGCLL1,2.0,2.0,1.0
MGC57346,0.0,0.0,1.0
RFPL1,0.0,0.0,1.0
CRTAM,0.0,0.0,1.0
PIPOX,2.0,2.0,1.0
CADPS2,0.0,0.0,1.0
RLF,0.0,0.0,1.0
ATP1A4,18.0,18.0,1.0
ATP1A3,18.0,18.0,1.0
ATP1A2,18.0,18.0,1.0
ATP1A1,18.0,18.0,1.0
CRTAP,0.0,0.0,1.0
SPHK2,8.0,8.0,1.0
SPHK1,8.0,8.0,1.0
ADPGK,1.0,1.0,1.0
CPEB4,2.0,2.0,1.0
CPEB1,2.0,2.0,1.0
CPEB3,2.0,2.0,1.0
CPEB2,2.0,2.0,1.0
BEGAIN,0.0,0.0,1.0
SRBD1,0.0,0.0,1.0
ABAT,4.0,4.0,1.0
HCAR1,1.0,1.0,1.0
TP53TG5,0.0,0.0,1.0
IFT80,0.0,0.0,1.0
TP53TG1,0.0,0.0,1.0
NPY6R,0.0,0.0,1.0
POU5F1B,1.0,1.0,1.0
XPA,1.0,1.0,1.0
KISS1R,2.0,2.0,1.0
ATG4C,2.0,2.0,1.0
ATG4B,2.0,2.0,1.0
ATG4A,2.0,2.0,1.0
ATG4D,2.0,2.0,1.0
PHOX2A,0.0,0.0,1.0
PHOX2B,0.0,0.0,1.0
UPK2,0.0,0.0,1.0
CFH,1.0,1.0,1.0
GPT2,1.0,1.0,1.0
CFD,2.0,2.0,1.0
CFB,2.0,2.0,1.0
CFP,1.0,1.0,1.0
AAAS,1.0,1.0,1.0
SIDT1,0.0,0.0,1.0
SIDT2,0.0,0.0,1.0
CDH24,0.0,0.0,1.0
SAGE1,0.0,0.0,1.0
NAALAD2,0.0,0.0,1.0
HMG20A,0.0,0.0,1.0
HMG20B,0.0,0.0,1.0
C4orf19,0.0,0.0,1.0
C4orf17,0.0,0.0,1.0
CREB1,39.0,39.0,1.0
ZFP82,1.0,1.0,1.0
NBEAP1,0.0,0.0,1.0
INGX,0.0,0.0,1.0
NRXN3,1.0,1.0,1.0
NRXN2,1.0,1.0,1.0
NRXN1,1.0,1.0,1.0
ABCE1,0.0,0.0,1.0
MSL3P1,0.0,0.0,1.0
DPYSL4,0.0,0.0,1.0
DPYSL5,1.0,1.0,1.0
DPYSL2,1.0,1.0,1.0
DPYSL3,0.0,0.0,1.0
OR4D9,1.0,1.0,1.0
GPR17,0.0,0.0,1.0
ZNF117,0.0,0.0,1.0
ZNF114,1.0,1.0,1.0
ZNF112,1.0,1.0,1.0
SEZ6L,0.0,0.0,1.0
TMC4,0.0,0.0,1.0
TMC5,0.0,0.0,1.0
TMC6,0.0,0.0,1.0
TMC7,0.0,0.0,1.0
APIP,1.0,1.0,1.0
TMC1,0.0,0.0,1.0
TMC2,0.0,0.0,1.0
TMC3,0.0,0.0,1.0
TMC8,0.0,0.0,1.0
PRKAR2A,1.0,1.0,1.0
PRKAR2B,1.0,1.0,1.0
MAGT1,0.0,0.0,1.0
S1PR4,3.0,3.0,1.0
MLF1,1.0,1.0,1.0
RSPH9,0.0,0.0,1.0
FANCF,1.0,1.0,1.0
RSPH3,0.0,0.0,1.0
RSPH1,0.0,0.0,1.0
CEPT1,3.0,3.0,1.0
PHACTR4,0.0,0.0,1.0
NLGN2,1.0,1.0,1.0
OR2K2,1.0,1.0,1.0
PHACTR3,0.0,0.0,1.0
NUP107,2.0,2.0,1.0
KRTAP2-3,0.0,0.0,1.0
KRTAP2-1,0.0,0.0,1.0
ASGR1,1.0,1.0,1.0
ASGR2,1.0,1.0,1.0
API5,0.0,0.0,1.0
UBE2NL,2.0,2.0,1.0
FANCI,1.0,1.0,1.0
HLA-DPA1,23.0,23.0,1.0
KIAA1191,0.0,0.0,1.0
ALOX12P2,0.0,0.0,1.0
VMP1,1.0,1.0,1.0
ADARB2-AS1,0.0,0.0,1.0
DENND4C,0.0,0.0,1.0
C19orf25,0.0,0.0,1.0
NR1D1,1.0,1.0,1.0
NR1D2,1.0,1.0,1.0
DRD1,10.0,10.0,1.0
ITGB1BP1,0.0,0.0,1.0
ITGB1BP2,0.0,0.0,1.0
ZAP70,9.0,9.0,1.0
SYNDIG1,0.0,0.0,1.0
HNRNPA0,0.0,0.0,1.0
OGFR,0.0,0.0,1.0
RAC2,29.0,29.0,1.0
RAC3,24.0,24.0,1.0
RAC1,52.0,52.0,1.0
VCL,7.0,7.0,1.0
CPLX2,1.0,1.0,1.0
CPLX3,1.0,1.0,1.0
CPLX1,1.0,1.0,1.0
CPLX4,1.0,1.0,1.0
VCX,0.0,0.0,1.0
PBX4,0.0,0.0,1.0
PBX2,0.0,0.0,1.0
PBX3,1.0,1.0,1.0
PBX1,3.0,3.0,1.0
AIRE,2.0,2.0,1.0
TUBG1,1.0,1.0,1.0
PRAMEF5,0.0,0.0,1.0
PRAMEF6,0.0,0.0,1.0
TUBG2,1.0,1.0,1.0
FAM71F1,0.0,0.0,1.0
PRAMEF1,0.0,0.0,1.0
FAM71F2,0.0,0.0,1.0
PTCH2,3.0,3.0,1.0
PTCH1,6.0,6.0,1.0
PRAMEF8,0.0,0.0,1.0
TIMM44,0.0,0.0,1.0
RAD9B,1.0,1.0,1.0
RAD9A,1.0,1.0,1.0
ERGIC2,0.0,0.0,1.0
ERGIC3,0.0,0.0,1.0
ERGIC1,0.0,0.0,1.0
CLEC14A,0.0,0.0,1.0
B3GAT3,2.0,2.0,1.0
B3GAT2,1.0,1.0,1.0
B3GAT1,1.0,1.0,1.0
UXT,0.0,0.0,1.0
CALM2,42.0,42.0,1.0
CALM3,42.0,42.0,1.0
SPG21,1.0,1.0,1.0
CALM1,42.0,42.0,1.0
GSDMA,0.0,0.0,1.0
GSDMB,0.0,0.0,1.0
GSDMC,0.0,0.0,1.0
GSDMD,4.0,4.0,1.0
UPK1A,0.0,0.0,1.0
UPK1B,0.0,0.0,1.0
DLGAP2,0.0,0.0,1.0
DLGAP3,0.0,0.0,1.0
DLGAP1,1.0,1.0,1.0
DLGAP4,0.0,0.0,1.0
DLGAP5,0.0,0.0,1.0
HRH2,3.0,3.0,1.0
CYP27B1,2.0,2.0,1.0
OIP5,0.0,0.0,1.0
CLCN3,1.0,1.0,1.0
CLCN2,1.0,1.0,1.0
CLCN1,0.0,0.0,1.0
CLCN7,0.0,0.0,1.0
CLCN6,0.0,0.0,1.0
CLCN5,1.0,1.0,1.0
CLCN4,1.0,1.0,1.0
FBXL19,0.0,0.0,1.0
INO80B-WBP1,0.0,0.0,1.0
DNAJA2,1.0,1.0,1.0
DNAJA3,1.0,1.0,1.0
DNAJA1,1.0,1.0,1.0
DNAJA4,0.0,0.0,1.0
GLG1,1.0,1.0,1.0
PTPN13,1.0,1.0,1.0
PTPN12,0.0,0.0,1.0
PTPN11,18.0,18.0,1.0
PTPN14,0.0,0.0,1.0
GALR3,1.0,1.0,1.0
GALR2,1.0,1.0,1.0
GALR1,1.0,1.0,1.0
UTRN,0.0,0.0,1.0
LYAR,0.0,0.0,1.0
MRPL24,1.0,1.0,1.0
MRPL27,1.0,1.0,1.0
MRPL21,1.0,1.0,1.0
MRPL20,1.0,1.0,1.0
MRPL23,1.0,1.0,1.0
MRPL22,1.0,1.0,1.0
MRPL28,1.0,1.0,1.0
C2orf81,0.0,0.0,1.0
DMRTB1,0.0,0.0,1.0
NPTX2,0.0,0.0,1.0
NPTX1,0.0,0.0,1.0
C2orf88,0.0,0.0,1.0
CHD1L,0.0,0.0,1.0
MSMP,0.0,0.0,1.0
MZB1,0.0,0.0,1.0
CDK2,19.0,19.0,1.0
RNF130,0.0,0.0,1.0
RAPH1,0.0,0.0,1.0
RNF133,0.0,0.0,1.0
HLA-DQB1,23.0,23.0,1.0
RNF135,0.0,0.0,1.0
HLA-DQB2,0.0,0.0,1.0
RNF138,0.0,0.0,1.0
RNF139,0.0,0.0,1.0
GID4,0.0,0.0,1.0
MRC1,2.0,2.0,1.0
TSHZ2,0.0,0.0,1.0
TSHZ3,0.0,0.0,1.0
TSHZ1,0.0,0.0,1.0
GID8,0.0,0.0,1.0
CHML,0.0,0.0,1.0
FOXS1,0.0,0.0,1.0
LPAR2,7.0,7.0,1.0
LINC00622,0.0,0.0,1.0
HAPLN4,0.0,0.0,1.0
PKD1L1,0.0,0.0,1.0
PKD1L2,0.0,0.0,1.0
LPAR6,4.0,4.0,1.0
CAMKK2,7.0,7.0,1.0
CAMKK1,1.0,1.0,1.0
MYDGF,0.0,0.0,1.0
NPTXR,0.0,0.0,1.0
LPAR5,6.0,6.0,1.0
MYO1H,1.0,1.0,1.0
MYO1G,1.0,1.0,1.0
MYO1F,1.0,1.0,1.0
MYO1E,1.0,1.0,1.0
MYO1D,1.0,1.0,1.0
MYO1C,1.0,1.0,1.0
MYO1B,1.0,1.0,1.0
MYO1A,1.0,1.0,1.0
GRN,0.0,0.0,1.0
PARD6G,6.0,6.0,1.0
CHMP3,2.0,2.0,1.0
RPL36AL,2.0,2.0,1.0
CHMP7,2.0,2.0,1.0
CHMP6,3.0,3.0,1.0
CHMP5,2.0,2.0,1.0
DENND6A,0.0,0.0,1.0
OR52N4,1.0,1.0,1.0
OR52N5,1.0,1.0,1.0
OR52N2,1.0,1.0,1.0
CTPS2,1.0,1.0,1.0
CTPS1,1.0,1.0,1.0
OR52N1,1.0,1.0,1.0
SULT6B1,0.0,0.0,1.0
LY6G6C,0.0,0.0,1.0
HOXA13,0.0,0.0,1.0
LY6G6E,0.0,0.0,1.0
HOXA11,1.0,1.0,1.0
HOXA10,1.0,1.0,1.0
GTF2I,2.0,2.0,1.0
GALNTL5,2.0,2.0,1.0
NEMF,0.0,0.0,1.0
GALNTL6,2.0,2.0,1.0
FER1L6-AS1,0.0,0.0,1.0
LGALS9,0.0,0.0,1.0
LGALS8,0.0,0.0,1.0
LGALS3,0.0,0.0,1.0
LGALS2,0.0,0.0,1.0
LGALS1,0.0,0.0,1.0
LGALS7,0.0,0.0,1.0
LGALS4,0.0,0.0,1.0
NMU,1.0,1.0,1.0
NMS,1.0,1.0,1.0
KRTAP11-1,0.0,0.0,1.0
TDG,1.0,1.0,1.0
NMB,1.0,1.0,1.0
MYO19,0.0,0.0,1.0
ELN,1.0,1.0,1.0
MYO16,0.0,0.0,1.0
TRNT1,0.0,0.0,1.0
MYO10,2.0,2.0,1.0
XIST,0.0,0.0,1.0
KRT28,2.0,2.0,1.0
TBX2,0.0,0.0,1.0
LRRC27,0.0,0.0,1.0
LRRC26,0.0,0.0,1.0
LRRC25,0.0,0.0,1.0
LRRC24,0.0,0.0,1.0
KIAA1522,0.0,0.0,1.0
MPDU1,0.0,0.0,1.0
LRRC20,0.0,0.0,1.0
LPGAT1,1.0,1.0,1.0
LRRC29,0.0,0.0,1.0
LRRC28,0.0,0.0,1.0
GCNT4,1.0,1.0,1.0
GCNT1,1.0,1.0,1.0
GCNT3,1.0,1.0,1.0
GCNT2,1.0,1.0,1.0
LPCAT4,2.0,2.0,1.0
LPCAT2,2.0,2.0,1.0
LPCAT3,2.0,2.0,1.0
LPCAT1,2.0,2.0,1.0
MID1IP1,0.0,0.0,1.0
ILKAP,0.0,0.0,1.0
WRAP53,0.0,0.0,1.0
KRT25,2.0,2.0,1.0
RMND1,0.0,0.0,1.0
TAX1BP1,1.0,1.0,1.0
CCDC179,0.0,0.0,1.0
ALPP,2.0,2.0,1.0
CCDC170,0.0,0.0,1.0
CCDC171,0.0,0.0,1.0
CCDC172,0.0,0.0,1.0
CCDC173,0.0,0.0,1.0
CCDC174,0.0,0.0,1.0
CCDC175,0.0,0.0,1.0
CCDC177,0.0,0.0,1.0
PDK1,2.0,2.0,1.0
PDK3,1.0,1.0,1.0
PDK2,1.0,1.0,1.0
EBP,1.0,1.0,1.0
PDK4,1.0,1.0,1.0
LNPEP,1.0,1.0,1.0
ALPI,2.0,2.0,1.0
SEC61A1,4.0,4.0,1.0
SEC61A2,4.0,4.0,1.0
ALPL,2.0,2.0,1.0
PTGS2,21.0,21.0,1.0
PTGS1,4.0,4.0,1.0
MIR193B,1.0,1.0,1.0
ZFAND6,0.0,0.0,1.0
ZFAND5,0.0,0.0,1.0
ZFAND4,0.0,0.0,1.0
ZFAND3,0.0,0.0,1.0
ZFAND1,0.0,0.0,1.0
MYO5B,1.0,1.0,1.0
SUPT3H,1.0,1.0,1.0
SLC39A12,2.0,2.0,1.0
SLC39A13,2.0,2.0,1.0
SLC39A10,2.0,2.0,1.0
SLC39A11,2.0,2.0,1.0
LINC01094,0.0,0.0,1.0
SLC39A14,3.0,3.0,1.0
LINC01096,0.0,0.0,1.0
INMT-FAM188B,0.0,0.0,1.0
CEP120,0.0,0.0,1.0
EIF1AX,0.0,0.0,1.0
CEP126,0.0,0.0,1.0
EIF1AD,0.0,0.0,1.0
LRPAP1,1.0,1.0,1.0
EVI5,0.0,0.0,1.0
DDIT3,11.0,11.0,1.0
DDIT4,4.0,4.0,1.0
NFKBIL1,0.0,0.0,1.0
MYSM1,0.0,0.0,1.0
BMP7,4.0,4.0,1.0
BMP6,4.0,4.0,1.0
BMP5,3.0,3.0,1.0
BMP4,8.0,8.0,1.0
BMP3,1.0,1.0,1.0
BMP2,5.0,5.0,1.0
BMP1,0.0,0.0,1.0
DR1,0.0,0.0,1.0
MTURN,0.0,0.0,1.0
OR5R1,0.0,0.0,1.0
GOLGA8S,0.0,0.0,1.0
TERF2,0.0,0.0,1.0
TERF1,0.0,0.0,1.0
GOLGA8G,0.0,0.0,1.0
GOLGA8F,0.0,0.0,1.0
GOLGA8B,0.0,0.0,1.0
RASSF9,0.0,0.0,1.0
RASSF8,0.0,0.0,1.0
RASSF1,7.0,7.0,1.0
RASSF3,0.0,0.0,1.0
RASSF2,1.0,1.0,1.0
RASSF5,6.0,6.0,1.0
RASSF4,1.0,1.0,1.0
RASSF7,0.0,0.0,1.0
RASSF6,2.0,2.0,1.0
VMO1,0.0,0.0,1.0
CHD1,0.0,0.0,1.0
CHD3,0.0,0.0,1.0
CHD2,0.0,0.0,1.0
CHD5,0.0,0.0,1.0
CHD4,2.0,2.0,1.0
CHD7,0.0,0.0,1.0
CHD6,0.0,0.0,1.0
CHD9,0.0,0.0,1.0
CHD8,1.0,1.0,1.0
CAP1,0.0,0.0,1.0
CAP2,0.0,0.0,1.0
NPC2,2.0,2.0,1.0
NPC1,2.0,2.0,1.0
LINC00323,0.0,0.0,1.0
LINC00324,0.0,0.0,1.0
LINC00326,0.0,0.0,1.0
TTC5,0.0,0.0,1.0
TTC6,0.0,0.0,1.0
TTC1,0.0,0.0,1.0
CENPBD1P1,0.0,0.0,1.0
BHLHA15,1.0,1.0,1.0
PIKFYVE,4.0,4.0,1.0
C3orf52,0.0,0.0,1.0
TTC8,0.0,0.0,1.0
CAPS,0.0,0.0,1.0
DAG1,5.0,5.0,1.0
CHDH,0.0,0.0,1.0
CAPG,0.0,0.0,1.0
ETHE1,1.0,1.0,1.0
PRDM16,2.0,2.0,1.0
MPG,1.0,1.0,1.0
PRDM14,0.0,0.0,1.0
PRDM15,0.0,0.0,1.0
PRDM12,0.0,0.0,1.0
PRDM13,0.0,0.0,1.0
PRDM10,0.0,0.0,1.0
PRDM11,0.0,0.0,1.0
MPO,5.0,5.0,1.0
MPL,2.0,2.0,1.0
AVP,4.0,4.0,1.0
MPI,2.0,2.0,1.0
PXDN,0.0,0.0,1.0
POLRMT,0.0,0.0,1.0
SGSM3,0.0,0.0,1.0
MPZ,1.0,1.0,1.0
MCPH1,0.0,0.0,1.0
KDM1A,1.0,1.0,1.0
KDM1B,0.0,0.0,1.0
CKS1B,2.0,2.0,1.0
OR1S1,1.0,1.0,1.0
OR1S2,1.0,1.0,1.0
SRGAP2B,0.0,0.0,1.0
QRSL1,1.0,1.0,1.0
FCER1G,8.0,8.0,1.0
BTG4,1.0,1.0,1.0
BTG3,1.0,1.0,1.0
BTG2,1.0,1.0,1.0
BTG1,1.0,1.0,1.0
SRD5A3,2.0,2.0,1.0
SRD5A2,2.0,2.0,1.0
SRD5A1,1.0,1.0,1.0
ARMT1,0.0,0.0,1.0
FAM49A,0.0,0.0,1.0
FAM49B,0.0,0.0,1.0
ZFP36L1,1.0,1.0,1.0
ZFP36L2,1.0,1.0,1.0
GGA1,1.0,1.0,1.0
C10orf99,0.0,0.0,1.0
GGA3,1.0,1.0,1.0
GGA2,1.0,1.0,1.0
C10orf90,0.0,0.0,1.0
C10orf91,0.0,0.0,1.0
C10orf95,0.0,0.0,1.0
FHOD1,1.0,1.0,1.0
FHOD3,0.0,0.0,1.0
ADH7,8.0,8.0,1.0
ADH6,8.0,8.0,1.0
ADH5,8.0,8.0,1.0
ADH4,8.0,8.0,1.0
GJC2,0.0,0.0,1.0
C4orf3,0.0,0.0,1.0
GJC1,0.0,0.0,1.0
PSMB9,1.0,1.0,1.0
PSMB8,1.0,1.0,1.0
PSMB7,8.0,8.0,1.0
PSMB6,8.0,8.0,1.0
PSMB5,8.0,8.0,1.0
PSMB4,8.0,8.0,1.0
PSMB3,8.0,8.0,1.0
PSMB2,8.0,8.0,1.0
PSMB1,8.0,8.0,1.0
LMBR1L,0.0,0.0,1.0
NPM3,0.0,0.0,1.0
TDGF1,0.0,0.0,1.0
C20orf141,0.0,0.0,1.0
RMI1,1.0,1.0,1.0
RMI2,1.0,1.0,1.0
CORO7,0.0,0.0,1.0
CIART,0.0,0.0,1.0
FAM155B,0.0,0.0,1.0
LTN1,0.0,0.0,1.0
EPS15,1.0,1.0,1.0
TRIML2,0.0,0.0,1.0
TRIML1,0.0,0.0,1.0
NACC2,0.0,0.0,1.0
ACOT11,0.0,0.0,1.0
ACOT12,1.0,1.0,1.0
ACOT13,0.0,0.0,1.0
VPS13A,0.0,0.0,1.0
SH3KBP1,1.0,1.0,1.0
VPS13C,0.0,0.0,1.0
VPS13B,0.0,0.0,1.0
BEX5,0.0,0.0,1.0
BEX4,0.0,0.0,1.0
BEX2,0.0,0.0,1.0
BEX1,0.0,0.0,1.0
TMEM160,0.0,0.0,1.0
TMEM163,0.0,0.0,1.0
TMEM165,0.0,0.0,1.0
TMEM164,0.0,0.0,1.0
TMEM169,0.0,0.0,1.0
TMEM168,0.0,0.0,1.0
EVI2B,0.0,0.0,1.0
FOXN1,0.0,0.0,1.0
FOXN2,0.0,0.0,1.0
REPIN1,0.0,0.0,1.0
NICN1,0.0,0.0,1.0
MIR101-2,1.0,1.0,1.0
PMVK,2.0,2.0,1.0
GRIN2B,19.0,19.0,1.0
GRIN2C,15.0,15.0,1.0
GRIN2A,19.0,19.0,1.0
KLHDC8B,0.0,0.0,1.0
GRIN2D,15.0,15.0,1.0
IFFO1,0.0,0.0,1.0
TAP2,8.0,8.0,1.0
IL6ST,9.0,9.0,1.0
SBF1,0.0,0.0,1.0
SBF2,0.0,0.0,1.0
DBN1,0.0,0.0,1.0
CDC73,0.0,0.0,1.0
LMBRD2,0.0,0.0,1.0
LMBRD1,1.0,1.0,1.0
TAS2R19,1.0,1.0,1.0
TAS2R14,1.0,1.0,1.0
TAS2R16,1.0,1.0,1.0
TAS2R10,1.0,1.0,1.0
BCAT2,2.0,2.0,1.0
BCAT1,2.0,2.0,1.0
TAS2R13,1.0,1.0,1.0
MACROD2,0.0,0.0,1.0
MACROD1,0.0,0.0,1.0
DBNL,0.0,0.0,1.0
PPIL1,1.0,1.0,1.0
CYP26A1,1.0,1.0,1.0
PSTK,2.0,2.0,1.0
PHPT1,0.0,0.0,1.0
NFU1,0.0,0.0,1.0
RRP1B,0.0,0.0,1.0
NOVA2,0.0,0.0,1.0
NOVA1,0.0,0.0,1.0
TMEM170A,0.0,0.0,1.0
HSP90B1,11.0,11.0,1.0
MCF2L,0.0,0.0,1.0
KRR1,0.0,0.0,1.0
F12,1.0,1.0,1.0
VSX1,0.0,0.0,1.0
DIO1,1.0,1.0,1.0
DIO2,1.0,1.0,1.0
DIO3,1.0,1.0,1.0
C8orf49,0.0,0.0,1.0
C8orf48,0.0,0.0,1.0
C8orf44,0.0,0.0,1.0
TP53I3,1.0,1.0,1.0
BRF2,0.0,0.0,1.0
CYSTM1,0.0,0.0,1.0
BRF1,0.0,0.0,1.0
MB,0.0,0.0,1.0
CAMSAP2,0.0,0.0,1.0
CAMSAP3,0.0,0.0,1.0
CAMSAP1,0.0,0.0,1.0
SLC18A3,2.0,2.0,1.0
SLC18A2,7.0,7.0,1.0
SLC18A1,7.0,7.0,1.0
RRP15,0.0,0.0,1.0
RALBP1,3.0,3.0,1.0
ZNF831,0.0,0.0,1.0
ZNF830,0.0,0.0,1.0
ZNF835,0.0,0.0,1.0
ZNF836,1.0,1.0,1.0
ZNF839,0.0,0.0,1.0
CTSLP2,0.0,0.0,1.0
CUEDC1,0.0,0.0,1.0
LRIF1,0.0,0.0,1.0
PHAX,1.0,1.0,1.0
ATOH7,0.0,0.0,1.0
ACAT1,8.0,8.0,1.0
ACAT2,8.0,8.0,1.0
NCOR1P1,0.0,0.0,1.0
ATOH1,0.0,0.0,1.0
CD200R1,1.0,1.0,1.0
LIMD1,2.0,2.0,1.0
TRIM9,0.0,0.0,1.0
ATOH8,0.0,0.0,1.0
SUGCT,0.0,0.0,1.0
FAM25C,0.0,0.0,1.0
IFITM4P,0.0,0.0,1.0
SBSPON,0.0,0.0,1.0
ZPBP,0.0,0.0,1.0
OR8S1,1.0,1.0,1.0
IL2RA,11.0,11.0,1.0
IL2RB,11.0,11.0,1.0
ZFYVE27,1.0,1.0,1.0
TPCN1,1.0,1.0,1.0
TPCN2,2.0,2.0,1.0
IL2RG,12.0,12.0,1.0
SLC17A4,0.0,0.0,1.0
SLC17A5,1.0,1.0,1.0
SLC17A6,4.0,4.0,1.0
SLC17A7,4.0,4.0,1.0
SLC17A1,0.0,0.0,1.0
SLC17A2,0.0,0.0,1.0
SLC17A3,0.0,0.0,1.0
MDH1B,0.0,0.0,1.0
C16orf58,0.0,0.0,1.0
PRTN3,0.0,0.0,1.0
CMTR2,0.0,0.0,1.0
CMTR1,0.0,0.0,1.0
C16orf54,0.0,0.0,1.0
ITCH,4.0,4.0,1.0
CHMP4A,3.0,3.0,1.0
CHMP4B,3.0,3.0,1.0
CHMP4C,2.0,2.0,1.0
BHMT2,1.0,1.0,1.0
COBLL1,0.0,0.0,1.0
SLC37A2,0.0,0.0,1.0
SLC37A3,0.0,0.0,1.0
CDK18,0.0,0.0,1.0
SLC37A1,0.0,0.0,1.0
SLC37A4,1.0,1.0,1.0
CDK12,0.0,0.0,1.0
CDK13,0.0,0.0,1.0
CDK10,0.0,0.0,1.0
CDK16,0.0,0.0,1.0
TMEM255B,0.0,0.0,1.0
CDK14,1.0,1.0,1.0
CDK15,0.0,0.0,1.0
ST7,0.0,0.0,1.0
RBL2,6.0,6.0,1.0
ZNF304,1.0,1.0,1.0
BFSP2,0.0,0.0,1.0
ZNF302,1.0,1.0,1.0
ZNF300,1.0,1.0,1.0
FAM216B,0.0,0.0,1.0
FAM216A,0.0,0.0,1.0
MMP28,0.0,0.0,1.0
STS,1.0,1.0,1.0
MMP25,0.0,0.0,1.0
MMP24,0.0,0.0,1.0
MMP27,0.0,0.0,1.0
MMP26,0.0,0.0,1.0
MMP21,0.0,0.0,1.0
MMP20,0.0,0.0,1.0
HOXB13,0.0,0.0,1.0
IFT81,0.0,0.0,1.0
PPP3CA,33.0,33.0,1.0
PPP3CB,33.0,33.0,1.0
PPP3CC,33.0,33.0,1.0
TCAIM,0.0,0.0,1.0
LIF,4.0,4.0,1.0
GPATCH8,0.0,0.0,1.0
CNKSR3,0.0,0.0,1.0
MMP23B,0.0,0.0,1.0
B3GNT4,1.0,1.0,1.0
B3GNT5,1.0,1.0,1.0
B3GNT6,1.0,1.0,1.0
B3GNT7,1.0,1.0,1.0
B3GNT2,2.0,2.0,1.0
B3GNT3,2.0,2.0,1.0
TSFM,0.0,0.0,1.0
RPL18,2.0,2.0,1.0
B3GNT8,0.0,0.0,1.0
ADRA2A,2.0,2.0,1.0
ADRA2B,2.0,2.0,1.0
ADRA2C,2.0,2.0,1.0
TEX26,0.0,0.0,1.0
TEX22,0.0,0.0,1.0
CTSW,2.0,2.0,1.0
TEX28,0.0,0.0,1.0
GINM1,0.0,0.0,1.0
TBCCD1,0.0,0.0,1.0
DAAM1,1.0,1.0,1.0
DAAM2,1.0,1.0,1.0
HLA-DRB1,23.0,23.0,1.0
HLA-DRB6,0.0,0.0,1.0
HLA-DRB5,23.0,23.0,1.0
YIF1B,0.0,0.0,1.0
